iso_code,Country ,WHO Region,Continents,WorldPop,Case,Death,WPPM,CasePM,DeathPM,CFR,CFR100,urban,Popdens,Obesity_rate,Diabetes_prevalence,Old-age,Hypertension,Avg_temp,Tot_Rain
BLR,Belarus,WHO European Region,Europe,9498238,0,0,9.498238,0,0,,,80.326,44.925,24.5,5.6,25.745773,49,8.4,742.98
BEL,Belgium,WHO European Region,Europe,11686140,0,0,11.68614,0,0,,,98.153,386.845,22.1,3.6,31.654547,30,10.96,1173.19
,Belize,WHO Region of the Americas,North America,410825,1076,0,0.410825,2619.120063,0,,,46.396,18.023,24.1,14.5,7.1051335,38,24.84,2382.82
,Bermuda,WHO Region of the Americas,North America,64069,1,0,0.064069,15.60817244,0,,,100,1198.111,,13,32.045784,,22.42,1236.92
BT,Bhutan,WHO South-East Asia Region,Asia,787424,0,0,0.787424,0,0,,,43.686,20.482,6.4,10.4,8.823322,43,8.05,3595.81
BIH,Bosnia and Herzegovina,WHO European Region,Europe,3210847,0,0,3.210847,0,0,,,49.841,62.212,17.9,9.1,33.189537,44,9.92,1060.84
BWA,Botswana,WHO Region of Africa,Africa,2675352,0,0,2.675352,0,0,,,72.224,4.376,18.9,5.2,6.224666,44,24.18,396.27
,Brunei,WHO Western Pacific Region,Asia,452524,0,0,0.452524,0,0,,,78.854,79.609,14.1,11.1,8.98518,46,26.2,5349.65
BGR,Bulgaria,WHO European Region,Europe,6687717,0,0,6.687717,0,0,,,76.363,62.694,25,7.4,34.304073,45,13.81,655.21
BDI,Burundi,WHO Region of Africa,Africa,13238559,0,0,13.238559,0,0,,,14.417,527.532,5.4,6.5,4.815837,34,24.89,2306.82
CMR,Cameroon,WHO Region of Africa,Africa,28647293,0,0,28.647293,0,0,,,58.733,60.879,11.4,5.5,5.0025544,37,24,1655.7
CAN,Canada,WHO Region of the Americas,North America,38781291,0,0,38.781291,0,0,,,81.752,4.322,29.4,7.7,29.576546,22,-0.97,695.24
,Canary Islands,,Africa,,0,0,0,0,0,,,,,,,,,,
,Cape Verde,WHO Region of Africa,Africa,598682,7864,0,0.598682,13135.52103,0,,,67.545,129.611,11.8,2.1,9.812975,44,24.54,182.37
,Cayman Islands,WHO Region of the Americas,North America,69310,5,0,0.06931,72.13966239,0,,,100,303.062,,13,11.374192,,,
,Central African Republic,WHO Region of Africa,Africa,5742315,207,0,5.742315,36.04817918,0,,,43.12,8.271,7.5,5.8,4.298979,41,28.34,1237
,Chad,WHO Region of Africa,Africa,18278568,0,0,18.278568,0,0,,,24.063,15.342,6.1,5.8,4.052066,38,27.54,478.11
,Chagos Archipelago,,Africa,,0,0,0,0,0,,,,,,,,,,
CHL,Chile,WHO Region of the Americas,South America,19629590,157,0,19.62959,7.998129355,0,,,87.912,26.109,28,10.8,19.830235,36,13.91,850.6
CHN,China,WHO Western Pacific Region,Asia,1425671352,7604,0,1425.671352,5.33362755,0,,,63.56,148.186,6.2,10.6,20.715618,27,8.12,889.25
,Christmas Island,,Asia,,0,0,0,0,0,,,,,,,,,,
,Cocos Islands,,Asia,,0,0,0,0,0,,,,,,,,,,
,Comoros,WHO Region of Africa,Africa,852075,0,0,0.852075,0,0,,,29.864,456.952,7.8,11.7,7.695856,33,27.59,1329.86
COG,Congo,WHO Region of Africa,Africa,6106869,0,0,6.106869,0,0,,,68.736,18.105,9.6,5.5,5.1859226,40,26.35,1283.17
,Cook Islands,WHO Western Pacific Region,Oceania,17044,0,0,0.017044,0,0,,,,59.258,,,20.698986,43,26.76,672.42
CRI,Costa Rica,WHO Region of the Americas,North America,5212173,29451,0,5.212173,5650.426415,0,,,82.042,99.991,25.7,8.8,16.97777,38,22.11,9642.92
HRV,Croatia,WHO European Region,Europe,4008617,0,0,4.008617,0,0,,,58.219,69.701,24.4,4.8,36.16123,48,12.82,1355.65
CUB,Cuba,WHO Region of the Americas,North America,11194449,985,0,11.194449,87.99003863,0,,,77.401,103.223,24.6,7.6,23.680435,40,26.61,1354.05
