who_region,Country ,WorldPop,WPPM,Hemisphere,Cases,Deaths,Cases/M,Deaths/M,CFR,Climate_Zone,WHO Region,Continents,Cases_Con,Deaths_Con,WorldPop,WPPM,CFR100,Climate_Zone,iso_code,WPPM,urban,Popdens,Obesity_rate,Diabetes_prevalence,Old-age,Hypertension,Avg_temp,Tot_Rain,AQI
AFR,Burundi,12551213,12.551213,Southern,0,0,0,0,,Tropical,African Region,Africa,168851,152,12551213,12.551213,,Tropical,BDI,13.238559,14.417,527.532,5.4,6.5,4.815837,34,24.89,2306.82,
WPR,Cambodia,16589023,16.589023,Northern,18983,46,1144.31091,2.772917971,0.242322078,Tropical,Western Pacific Region,Asia,884639,1008,16589023,16.589023,0.002423221,Tropical,KHM,16.944826,25.114,96.246,3.9,7.3,9.324315,26,29.2,2104.04,69
AFR,Cameroon,27198628,27.198628,Northern,57,0,2.095693945,0,,Tropical,African Region,Africa,168851,152,27198628,27.198628,,Tropical,CMR,28.647293,58.733,60.879,11.4,5.5,5.0025544,37,24,1655.7,164
AMR,Canada,38155012,38.155012,Northern,0,0,0,0,,Polar,Region of the Americas,North America,1142666,934,38155012,38.155012,,Polar,CAN,38.781291,81.752,4.322,29.4,7.7,29.576546,22,-0.97,695.24,25
EUR,Canary Islands,,0,Northern,0,0,,,,Subtropical,European Region,Africa,168851,152,,0,,Subtropical,IC,0,,,,,,,,,
AFR,Cape Verde,587925,0.587925,Northern,25290,1,43015.69078,1.700897223,0.003954132,Tropical,African Region,Africa,168851,152,587925,0.587925,3.95E-05,Tropical,CPV,0.598682,67.545,129.611,11.8,2.1,9.812975,44,24.54,182.37,
AMR,Cayman Islands,68136,0.068136,Northern,9,0,132.0887636,0,,Tropical,Region of the Americas,North America,1142666,934,68136,0.068136,,Tropical,CYM,0.06931,100,303.062,,13,11.374192,,,,
AFR,Central African Republic,5457154,5.457154,Northern,207,0,37.93185972,0,,Tropical,African Region,Africa,168851,152,5457154,5.457154,,Tropical,CAF,5.742315,43.12,8.271,7.5,5.8,4.298979,41,28.34,1237,
AFR,Chad,17179740,17.17974,Northern,0,0,0,0,,Tropical,African Region,Africa,168851,152,17179740,17.17974,,Tropical,TCD,18.278568,24.063,15.342,6.1,5.8,4.052066,38,27.54,478.11,
SEAR,Chagos Archipelago,,0,Southern,0,0,,,,Tropical,South-East Asia Region,Africa,168851,152,,0,,Tropical,IO,0,,,,,,,,,
AMR,Chile,19493184,19.493184,Southern,157,0,8.054097268,0,,Subtropical,Region of the Americas,South America,11892175,7310,19493184,19.493184,,Subtropical,CHL,19.62959,87.912,26.109,28,10.8,19.830235,36,13.91,850.6,66
WPR,China,1425893465,1425.893465,Northern,24330,0,17.06298584,0,,Subtropical,Western Pacific Region,Asia,884639,1008,1425893465,1425.893465,,Subtropical,CHN,1425.671352,63.56,148.186,16.2,10.6,20.715618,27,8.12,889.25,96
SEAR,Christmas Island,,0,Southern,0,0,,,,Tropical,South-East Asia Region,Asia,884639,1008,,0,,Tropical,CX,0,,,,,,,,,
SEAR,Cocos Islands,,0,Southern,0,0,,,,Tropical,South-East Asia Region,Asia,884639,1008,,0,,Tropical,CC,0,,,,,,,,,
AMR,Colombia,51516562,51.516562,Northern,320982,229,6230.656463,4.445172409,0.071343564,Tropical,Region of the Americas,South America,11892175,7310,51516562,51.516562,0.000713436,Tropical,COL,52.085168,82.05,46.562,32.3,8.3,13.383401,31,19.56,3037.84,58
EUR,Comoros,852075,0.852075,Southern,0,0,0,0,,Tropical,European Region,Africa,168851,152,852075,0.852075,,Tropical,KM,0.852075,29.864,456.952,7.8,11.7,7.695856,33,27.59,1329.86,
AFR,Congo,5835806,5.835806,Southern,0,0,0,0,,Tropical,African Region,Africa,168851,152,5835806,5.835806,,Tropical,COG,6.106869,68.736,18.105,9.6,5.5,5.1859226,40,26.35,1283.17,
WPR,Cook Islands,17003,0.017003,Southern,0,0,0,0,,Tropical,Western Pacific Region,Oceania,9640,0,17003,0.017003,,Tropical,COK,0.017044,,59.258,,,20.698986,43,26.76,672.42,
AMR,Costa Rica,5153957,5.153957,Northern,31259,7,6065.048661,1.358179744,0.022393551,Tropical,Region of the Americas,North America,1142666,934,5153957,5.153957,0.000223936,Tropical,CRI,5.212173,82.042,99.991,25.7,8.8,16.97777,38,22.11,9642.92,77
EUR,Croatia,4060135,4.060135,Northern,0,0,0,0,,Subtropical,European Region,Europe,308,0,4060135,4.060135,,Subtropical,HRV,4.008617,58.219,69.701,24.4,4.8,36.16123,48,12.82,1355.65,51
AMR,Cuba,11256372,11.256372,Northern,985,0,87.50599216,0,,Tropical,Region of the Americas,North America,1142666,934,11256372,11.256372,,Tropical,CUB,11.194449,77.401,103.223,24.6,7.6,23.680435,40,26.61,1354.05,99
AMR,Curacao,190338,0.190338,Northern,262,0,1376.49865,0,,Tropical,Region of the Americas,South America,11892175,7310,190338,0.190338,,Tropical,CUW,0.192077,89.025,437.328,,11.7,23.775358,,28.59,576.11,
EUR,Cyprus,1244188,1.244188,Northern,0,0,0,0,,Subtropical,European Region,Europe,308,0,1244188,1.244188,,Subtropical,CYP,1.260138,66.911,145.56,21.8,8.6,20.555784,31,21.32,273.58,51
EUR,Czech Republic,10510751,10.510751,Northern,0,0,0,0,,Polar,European Region,Europe,308,0,10510751,10.510751,,Polar,CZE,10.495295,74.377,140.017,26,7.1,32.199486,42,10.46,823.59,55
EUR,Democratic Republic of the Congo,102262808,102.262808,Northern,0,0,0,0,,Tropical,European Region,Africa,168851,152,102262808,102.262808,,Tropical,COD,102.262808,46.837,46.664,6.7,5.8,6.0347595,34,26.35,1283.17,
EUR,Denmark,5854240,5.85424,Northern,0,0,0,0,,Polar,European Region,Europe,308,0,5854240,5.85424,,Polar,DNK,5.910913,88.367,140.306,19.7,5.3,32.39204,36,9.15,1629.14,32
EMR,Djibouti,1136455,1.136455,Northern,0,0,0,0,,Tropical,Eastern Mediterranean Region,Africa,168851,152,1136455,1.136455,,Tropical,DJI,1.136455,78.38,49.739,13.5,7.4,7.209734,34,28.14,386.6,
AMR,Dominica,72412,0.072412,Northern,0,0,0,0,,Tropical,Region of the Americas,North America,1142666,934,72412,0.072412,,Tropical,DMA,0.07304,71.7,88.681,27.9,11.7,18.441135,48,28.23,1019.82,
AMR,Dominican Republic,11117873,11.117873,Northern,10251,12,922.0288809,1.079343144,0.11706175,Tropical,Region of the Americas,North America,1142666,934,11117873,11.117873,0.001170618,Tropical,DOM,11.332972,83.848,234.548,27.6,10.5,11.554975,49,26.72,1315.96,129
AMR,Ecuador ,17797737,17.797737,Southern,61329,74,3445.887531,4.157831976,0.120660699,Tropical,Region of the Americas,South America,11892175,7310,17797737,17.797737,0.001206607,Tropical,ECU,18.190484,64.57,72.395,19.9,14.4,12.089916,37,17.96,2439.36,
