who_region,Country ,WorldPop,WPPM,Hemisphere,Cases,Deaths,Cases/M,Deaths/M,CFR,Climate_Zone,WHO Region,Continents,Cases_Con,Deaths_Con,WorldPop,WPPM,CFR100,Climate_Zone,iso_code,WPPM,urban,Popdens,Obesity_rate,Diabetes_prevalence,Old-age,Hypertension,Avg_temp,Tot_Rain,AQI
EUR,Uzbekistan,34081449,34.081449,Northern,0,0,0,0,,Subtropical,European Region,Asia,884639,1008,34081449,34.081449,,Subtropical,UZB,35.163944,50.466,83.809,16.6,7,8.977121,46,14.25,211.66,116
WPR,Vanuatu,319137,0.319137,Southern,138,0,432.4161724,0,,Tropical,Western Pacific Region,Oceania,9640,0,319137,0.319137,,Tropical,VUT,0.334506,25.816,26.285,,15.6,7.3786154,40,26.7,5.76,
AMR,Venezuela,28199867,28.199867,Northern,0,0,0,0,,Tropical,Region of the Americas,South America,11892175,7310,28199867,28.199867,,Tropical,VEN,28.838499,88.378,30.881,25.6,9.6,14.46761,39,27.15,2089.96,41
WPR,Vietnam,97468029,97.468029,Northern,108433,26,1112.49813,0.266754137,0.02397794,Tropical,Western Pacific Region,Asia,884639,1008,97468029,97.468029,0.000239779,Tropical,VNM,98.85895,38.766,320.196,12.1,9.1,12.710798,30,26.75,2728.82,74
AMR,Virgin Islands,98750,0.09875,Northern,185,0,1873.417722,0,,Tropical,Region of the Americas,North America,1142666,934,98750,0.09875,,Tropical,VI,0.09875,,81.218,,,,,,,
WPR,Wallis and Futuna,11627,0.011627,Southern,78,0,6708.523265,0,,Tropical,Western Pacific Region,Oceania,9640,0,11627,0.011627,,Tropical,WLF,0.011502,,2.179,,,21.76215,,,,
AFR,Western Sahara,587259,0.587259,Northern,0,0,0,0,,Tropical,African Region,Africa,168851,152,587259,0.587259,,Tropical,EH,0.587259,,62.052,,,9.015337,,,,
EMR,Yemen,34449825,34.449825,Southern,0,0,0,0,,Subtropical,Eastern Mediterranean Region,Asia,884639,1008,34449825,34.449825,,Subtropical,YE,34.449825,39.188,74.608,17.1,5.4,4.4565034,29,28.08,61.74,
AFR,Zambia,19473125,19.473125,Southern,0,0,0,0,,Tropical,African Region,Africa,168851,152,19473125,19.473125,,Tropical,ZMB,20.569737,45.761,27.878,,11.9,3.381735,32,22.01,2.48,
AFR,Zimbabwe,15993524,15.993524,Southern,0,0,0,0,,Tropical,African Region,Africa,168851,152,15993524,15.993524,,Tropical,ZWE,16.665409,32.395,42.241,15.5,2.1,6.5704026,42,21.77,440.78,
